text,true_label,predicted_label
they should keep it up until every terrorist is found and eliminated.,1,1
i have not been able vote republican since senator mccain chose sarah palin as his running mate.,1,1
doesn't seam like there's a stopping point for obama using his power.,1,0
our kids future under obama care will be more than they can carry,1,0
"dear congressman coffman, greetings.",1,0
"the treaty would not change anything in the us, we already have the americans with disabilites act (the act this treaty was based on).",1,0
he has lost my vote!,1,1
"it's outrageous, this administration is getting on my last nerve!",1,0
"reps. robert dold (r-ill.), john katko (r-n.y.) and bruce poliquin (r-maine) were the only republicans to cross party lines.",1,1
ovomit is not capable - he is in over his head and putin is burying him.,1,1
"since we have both the house and senate majority, someone should be doing something about it.",1,1
"senator mccain, why are you supporting al-qaeda and its affiliates in syria?",1,1
"theirs other options on the table: tom hoefling for president 2016 evan mcmullin by the way, check out convention of states idaho.",1,0
"and ""no sort of aid from the government""?",1,1
he's an obama man - probably won't happen.,1,0
"ted cruz and donald trump are puzzles, to me--i don't see why they are still getting airtime.",1,1
tehran tom.,1,1
go on fox and explain your vote on the un treaty.,1,1
"senator perdue, you represent the citizens of georgia.",1,1
today it's the flag what is next!,1,1
there r provisions n the constitution that allows him that right.,1,1
may god be with you as you fight the good fight sir!,1,0
"nice going, congressman, you and your other phony republican conservatives have caused 24 billion dollars in economic damage to our economy with you extortion and hostage taking.",1,1
we really need congress to perform its constitutional duty of oversight.,1,0
mccain should go to prison for treason!!,1,1
obama's wins if ron paul don't get on that ballet.,1,0
to say i am disappointed with the representation we have in washington is an understatement.,1,0
we do not need more liberal idiots attempting to run the country.,1,1
senator mccain i appreciate you rising above the partisanship that is threatening to strangle us all and question what feels like an increasing danger to americans of all all political parties.,1,0
"""i'm ecstatic to see obamacare go, but i would have preferred the government stay completely out of our healthcare.",1,1
i don't think in all of the hoopla that the payment of the interest on our debt has ever been in question other than as a political football.,1,0
trey gowdy for president 👊,1,1
rino poser.,1,1
the government is buying them to keep them from us.,1,1
stop talking and start impeaching and prosecuting,1,1
i trust the troops will keep supporting you and the speaker!,1,0
impeach him for illegal actions!,1,1
then impeach the president.,1,1
balanced budget is only a small baby step.,1,1
thats your socialist pres.,1,0
"senator mccain, it's more than that.",1,1
egypt is a clusterf * ck for this president.,1,1
read the constitution!,1,0
"stephanie---66% of all ohio voters voted to keep obamacare out of ohio.... it's an albatross around the nation's neck we don't need... once it's permanent, we will have crossed a threshold from which there's no return.",1,1
what i find difficult to understand: why the government under mr. o is so stupid they cannot see the damage they have caused in our nation?,1,0
"please, senator mccain, continue to stand up to trump and encourage your republican allies to do the same.",1,1
"marco rubio, god bless you sir god bless you!",1,1
and we should get most of the ones out of our country that were let in sooooooooo fast by your buddy obama that are scattered all around this country setting up training camps for obamas army of muslim terrorists along with syrains that have not been checked out!,1,1
john mccain is an american terrorist.,1,1
i just pray our nation can survive 2 more years of the cancer we have growing in washington.,1,0
"""fast track"" essentially restrains the power of congress, prohibiting amendments to the trade proposal, only allowing an ""up or down"" vote, delegating to the executive branch the sole power to draft the trade agreement.",1,1
"""how obamacare has harmed patients... as a whole""?",1,1
flat tax where everybody pays!,1,1
"congress never opposed the extra congressional appointment of 150 tzars, who control all the energy, all the food and the labor of citizens, through unconstitutional fusion centers, which by pass the governor's authority.",1,1
i hope conservatives don't get screwed in conference.,1,1
"take a deep breath, and actually list the ""rights"" and ""freedoms"" obama is taking away.",1,1
"happy thanksgiving, trey goudy!",1,0
continue to fight dr. the support is here!,1,1
he has no plan.,1,1
"with her 177,886 votes thats only 25%.... hardly a mandate, and elise would be wise to remember, at 25%, who really is the small special interest group that is really hijacking the conversation.",1,1
"then why duesnt congress do something about it, you all know it is wrong?",1,0
the reason i am voting for donald trump he has the guts to stand up to the spineless washington elites like you and paul ryan.,1,1
